,property_type,operation_type,created_on,lat,lon,l2,bathrooms,price,surface,rooms_bedrooms,month,year
1407,Casa,Venta,2020-10-07,3.25,-76.573,Valle del Cauca,4.0,700000000.0,,4.0,10,2020
1409,Casa,Venta,2020-10-07,2.4519289,-76.6002361,Cauca,4.0,500000000.0,,5.0,10,2020
1542,Casa,Venta,2020-10-07,4.798119,-74.058707,Cundinamarca,4.0,1400000000.0,,4.0,10,2020
1543,Casa,Venta,2020-10-07,4.6618816,-74.1258594,Cundinamarca,4.0,950000000.0,,3.0,10,2020
1549,Casa,Venta,2020-10-07,4.6047671,-74.1156121,Cundinamarca,4.0,560000000.0,,7.0,10,2020
1552,Casa,Venta,2020-10-07,4.7164642,-74.1225279,Cundinamarca,4.0,450000000.0,,5.0,10,2020
1557,Casa,Venta,2020-10-07,4.724,-74.024,Cundinamarca,4.0,1800000000.0,550.0,3.0,10,2020
1574,Casa,Venta,2020-10-07,3.364,-76.538,Valle del Cauca,5.0,1500000000.0,,3.0,10,2020
1578,Casa,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,5.0,680000000.0,,3.0,10,2020
1579,Casa,Venta,2020-10-07,3.382,-76.53,Valle del Cauca,5.0,650000000.0,,4.0,10,2020
1580,Casa,Venta,2020-10-07,3.366,-76.531,Valle del Cauca,5.0,1600000000.0,1100.0,5.0,10,2020
1585,Casa,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,5.0,1300000000.0,,5.0,10,2020
1586,Casa,Venta,2020-10-07,3.427,-76.542,Valle del Cauca,5.0,850000000.0,,5.0,10,2020
1588,Casa,Venta,2020-10-07,3.364,-76.538,Valle del Cauca,5.0,950000000.0,,4.0,10,2020
1590,Casa,Venta,2020-10-07,3.415,-76.542,Valle del Cauca,5.0,450000000.0,135.0,4.0,10,2020
1591,Casa,Venta,2020-10-07,3.483,-76.524,Valle del Cauca,5.0,650000000.0,,6.0,10,2020
1593,Casa,Venta,2020-10-07,3.468,-76.532,Valle del Cauca,5.0,900000000.0,326.0,8.0,10,2020
1596,Casa,Venta,2020-10-07,4.8023902,-75.6867684,Risaralda,5.0,700000000.0,,5.0,10,2020
1599,Casa,Venta,2020-10-07,3.262,-76.542,Valle del Cauca,5.0,850000000.0,,4.0,10,2020
1600,Casa,Venta,2020-10-07,3.255,-76.576,Valle del Cauca,5.0,480000000.0,,4.0,10,2020
1601,Casa,Venta,2020-10-07,3.261,-76.541,Valle del Cauca,5.0,980000000.0,,6.0,10,2020
1603,Casa,Venta,2020-10-07,3.242,-76.578,Valle del Cauca,5.0,850000000.0,,5.0,10,2020
1606,Casa,Venta,2020-10-07,3.855,-76.51,Valle del Cauca,5.0,1100000000.0,,6.0,10,2020
1664,Casa,Venta,2020-10-07,6.2116922,-75.5630975,Antioquia,5.0,1900000000.0,,3.0,10,2020
1665,Casa,Venta,2020-10-07,6.2152335,-75.5663089,Antioquia,5.0,1800000000.0,,5.0,10,2020
1670,Casa,Venta,2020-10-07,6.305,-75.555,Antioquia,5.0,750000000.0,220.0,4.0,10,2020
1672,Casa,Venta,2020-10-07,4.5999955123,-74.1111516953,Cundinamarca,5.0,720000000.0,,6.0,10,2020
1674,Casa,Venta,2020-10-07,4.725,-74.04,Cundinamarca,5.0,720000000.0,,4.0,10,2020
1681,Casa,Venta,2020-10-07,3.565,-76.551,Valle del Cauca,6.0,870000000.0,,4.0,10,2020
1682,Casa,Venta,2020-10-07,3.566,-76.551,Valle del Cauca,6.0,1600000000.0,,4.0,10,2020
1683,Casa,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,6.0,900000000.0,,4.0,10,2020
1684,Casa,Venta,2020-10-07,3.558,-76.569,Valle del Cauca,6.0,1250000000.0,,5.0,10,2020
1686,Casa,Venta,2020-10-07,3.396,-76.517,Valle del Cauca,6.0,580000000.0,200.0,6.0,10,2020
1688,Casa,Venta,2020-10-07,3.233,-76.584,Valle del Cauca,6.0,650000000.0,,5.0,10,2020
1689,Casa,Venta,2020-10-07,3.266,-76.573,Valle del Cauca,6.0,850000000.0,,4.0,10,2020
3555,Apartamento,Venta,2020-10-07,3.387,-76.542,Valle del Cauca,1.0,135000000.0,,2.0,10,2020
3556,Apartamento,Venta,2020-10-07,3.399,-76.529,Valle del Cauca,1.0,138000000.0,,3.0,10,2020
3567,Apartamento,Venta,2020-10-07,3.383,-76.519,Valle del Cauca,1.0,135000000.0,,2.0,10,2020
3571,Apartamento,Venta,2020-10-07,3.405,-76.534,Valle del Cauca,1.0,155000000.0,,3.0,10,2020
3598,Apartamento,Venta,2020-10-07,3.452,-76.551,Valle del Cauca,1.0,160000000.0,42.0,1.0,10,2020
4176,Apartamento,Venta,2020-10-07,6.2290677,-75.5363628,Antioquia,1.0,130000000.0,,2.0,10,2020
4291,Apartamento,Venta,2020-10-07,4.728,-74.046,Cundinamarca,1.0,240000000.0,50.0,2.0,10,2020
4295,Apartamento,Venta,2020-10-07,4.745,-74.03,Cundinamarca,1.0,160000000.0,46.0,2.0,10,2020
4302,Apartamento,Venta,2020-10-07,4.619,-74.082,Cundinamarca,1.0,220000000.0,35.0,1.0,10,2020
4307,Apartamento,Venta,2020-10-07,4.634,-74.064,Cundinamarca,1.0,180000000.0,31.0,1.0,10,2020
4374,Apartamento,Venta,2020-10-07,4.8315855,-75.6746901,Risaralda,2.0,155000000.0,,3.0,10,2020
4400,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,2.0,1280000000.0,,3.0,10,2020
4403,Apartamento,Venta,2020-10-07,3.402,-76.53,Valle del Cauca,2.0,135000000.0,,3.0,10,2020
4407,Apartamento,Venta,2020-10-07,3.490034,-76.5172275,Valle del Cauca,2.0,460000000.0,,2.0,10,2020
4408,Apartamento,Venta,2020-10-07,3.355,-76.518,Valle del Cauca,2.0,220000000.0,,2.0,10,2020
4409,Apartamento,Venta,2020-10-07,3.376,-76.518,Valle del Cauca,2.0,300000000.0,,3.0,10,2020
4413,Apartamento,Venta,2020-10-07,3.4504513,-76.5447216,Valle del Cauca,2.0,750000000.0,,3.0,10,2020
4415,Apartamento,Venta,2020-10-07,3.413,-76.544,Valle del Cauca,2.0,285000000.0,,3.0,10,2020
4417,Apartamento,Venta,2020-10-07,3.4849894,-76.5046589,Valle del Cauca,2.0,150000000.0,,3.0,10,2020
4418,Apartamento,Venta,2020-10-07,3.369,-76.515,Valle del Cauca,2.0,280000000.0,,3.0,10,2020
4419,Apartamento,Venta,2020-10-07,3.371,-76.516,Valle del Cauca,2.0,250000000.0,,3.0,10,2020
4420,Apartamento,Venta,2020-10-07,3.372,-76.527,Valle del Cauca,2.0,320000000.0,,3.0,10,2020
4421,Apartamento,Venta,2020-10-07,3.387,-76.549,Valle del Cauca,2.0,185000000.0,,2.0,10,2020
4425,Apartamento,Venta,2020-10-07,3.38,-76.509,Valle del Cauca,2.0,170000000.0,,3.0,10,2020
4430,Apartamento,Venta,2020-10-07,3.376,-76.529,Valle del Cauca,2.0,335000000.0,,3.0,10,2020
4431,Apartamento,Venta,2020-10-07,3.384,-76.54,Valle del Cauca,2.0,350000000.0,,3.0,10,2020
4441,Apartamento,Venta,2020-10-07,3.407,-76.538,Valle del Cauca,2.0,130000000.0,,3.0,10,2020
4443,Apartamento,Venta,2020-10-07,3.387,-76.542,Valle del Cauca,2.0,430000000.0,,2.0,10,2020
4445,Apartamento,Venta,2020-10-07,3.384,-76.54,Valle del Cauca,2.0,300000000.0,,3.0,10,2020
4446,Apartamento,Venta,2020-10-07,3.406,-76.534,Valle del Cauca,2.0,180000000.0,,3.0,10,2020
4454,Apartamento,Venta,2020-10-07,3.388,-76.545,Valle del Cauca,2.0,250000000.0,,2.0,10,2020
4458,Apartamento,Venta,2020-10-07,3.356,-76.518,Valle del Cauca,2.0,230000000.0,70.0,3.0,10,2020
4459,Apartamento,Venta,2020-10-07,3.357,-76.518,Valle del Cauca,2.0,165000000.0,62.0,3.0,10,2020
4476,Apartamento,Venta,2020-10-07,3.364,-76.495,Valle del Cauca,2.0,250000000.0,75.0,3.0,10,2020
4499,Apartamento,Venta,2020-10-07,3.373,-76.547,Valle del Cauca,2.0,170000000.0,60.0,2.0,10,2020
4511,Apartamento,Venta,2020-10-07,6.34,-75.533,Antioquia,2.0,217000000.0,65.0,3.0,10,2020
4545,Apartamento,Venta,2020-10-07,4.918451,-74.028912,Cundinamarca,2.0,220000000.0,,3.0,10,2020
4605,Apartamento,Venta,2020-10-07,6.163,-75.569,Antioquia,2.0,510000000.0,92.0,3.0,10,2020
4606,Apartamento,Venta,2020-10-07,6.161,-75.576,Antioquia,2.0,425000000.0,79.0,2.0,10,2020
4636,Apartamento,Venta,2020-10-07,6.1440983,-75.6079558,Antioquia,2.0,220000000.0,,2.0,10,2020
4642,Apartamento,Venta,2020-10-07,6.156916,-75.606895,Antioquia,2.0,279000000.0,,2.0,10,2020
4643,Apartamento,Venta,2020-10-07,6.154966,-75.6041,Antioquia,2.0,235000000.0,,2.0,10,2020
4668,Apartamento,Venta,2020-10-07,10.443,-75.522,Bolívar,2.0,300000000.0,96.0,2.0,10,2020
4764,Apartamento,Venta,2020-10-07,5.0585923,-75.4808435,Caldas,2.0,245000000.0,,3.0,10,2020
4765,Apartamento,Venta,2020-10-07,5.0718594,-75.5311862,Caldas,2.0,130000000.0,,3.0,10,2020
4806,Apartamento,Venta,2020-10-07,5.0788763,-75.5235503,Caldas,2.0,245000000.0,,3.0,10,2020
5373,Apartamento,Venta,2020-10-07,6.222166,-75.567627,Antioquia,2.0,375000000.0,,3.0,10,2020
5528,Apartamento,Venta,2020-10-07,6.2742429,-75.5572898,Antioquia,2.0,205000000.0,,3.0,10,2020
5656,Apartamento,Venta,2020-10-07,6.245386,-75.582701,Antioquia,2.0,586000000.0,,3.0,10,2020
5667,Apartamento,Venta,2020-10-07,6.179,-75.565,Antioquia,2.0,700000000.0,,1.0,10,2020
5670,Apartamento,Venta,2020-10-07,6.2194108,-75.6027081,Antioquia,2.0,330000000.0,,3.0,10,2020
5676,Apartamento,Venta,2020-10-07,6.1961963,-75.5748401,Antioquia,2.0,730000000.0,,3.0,10,2020
5701,Apartamento,Venta,2020-10-07,5.0175977847,-73.9965209445,Cundinamarca,2.0,220000000.0,,3.0,10,2020
5720,Apartamento,Venta,2020-10-07,4.6461598,-74.0646778,Cundinamarca,2.0,340000000.0,,1.0,10,2020
5721,Apartamento,Venta,2020-10-07,4.6460076,-74.0647213,Cundinamarca,2.0,350000000.0,,1.0,10,2020
5730,Apartamento,Venta,2020-10-07,4.6925552,-74.0417572,Cundinamarca,2.0,555000000.0,,3.0,10,2020
5735,Apartamento,Venta,2020-10-07,4.687592,-74.050718,Cundinamarca,2.0,930000000.0,,3.0,10,2020
5747,Apartamento,Venta,2020-10-07,4.7331883,-74.0544088,Cundinamarca,2.0,270000000.0,,3.0,10,2020
5757,Apartamento,Venta,2020-10-07,4.6858972,-74.0367047,Cundinamarca,2.0,671807000.0,,2.0,10,2020
5758,Apartamento,Venta,2020-10-07,4.6858972,-74.0367047,Cundinamarca,2.0,363643000.0,,1.0,10,2020
5764,Apartamento,Venta,2020-10-07,4.727,-74.036,Cundinamarca,2.0,550000000.0,74.0,1.0,10,2020
5781,Apartamento,Venta,2020-10-07,4.643,-74.14,Cundinamarca,2.0,225000000.0,55.0,3.0,10,2020
5794,Apartamento,Venta,2020-10-07,4.721,-74.029,Cundinamarca,2.0,290000000.0,60.0,2.0,10,2020
5795,Apartamento,Venta,2020-10-07,4.64,-74.128,Cundinamarca,2.0,230000000.0,62.0,3.0,10,2020
5806,Apartamento,Venta,2020-10-07,4.651,-74.064,Cundinamarca,2.0,349900000.0,15.0,3.0,10,2020
5809,Apartamento,Venta,2020-10-07,4.737,-74.04,Cundinamarca,2.0,370000000.0,87.0,3.0,10,2020
5816,Apartamento,Venta,2020-10-07,4.65,-74.117,Cundinamarca,2.0,570000000.0,115.0,3.0,10,2020
5889,Apartamento,Venta,2020-10-07,7.1152182875,-73.1142872772,Santander,2.0,230000000.0,,3.0,10,2020
5890,Apartamento,Venta,2020-10-07,7.1152182875,-73.1142872772,Santander,2.0,230000000.0,,3.0,10,2020
5976,Apartamento,Venta,2020-10-07,11.0,-74.801,Atlántico,2.0,290000000.0,80.0,2.0,10,2020
5980,Apartamento,Venta,2020-10-07,11.005,-74.797,Atlántico,2.0,287692000.0,75.0,3.0,10,2020
5983,Apartamento,Venta,2020-10-07,11.005,-74.797,Atlántico,2.0,287692000.0,81.0,3.0,10,2020
6061,Apartamento,Venta,2020-10-07,3.482,-76.524,Valle del Cauca,3.0,520000000.0,,3.0,10,2020
6062,Apartamento,Venta,2020-10-07,3.407,-76.549,Valle del Cauca,3.0,280000000.0,,3.0,10,2020
6066,Apartamento,Venta,2020-10-07,3.4504513,-76.5447216,Valle del Cauca,3.0,1200000000.0,,3.0,10,2020
6067,Apartamento,Venta,2020-10-07,3.4023501,-76.5409814,Valle del Cauca,3.0,220000000.0,,3.0,10,2020
6069,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,3.0,465000000.0,,3.0,10,2020
6070,Apartamento,Venta,2020-10-07,3.44,-76.554,Valle del Cauca,3.0,550000000.0,,3.0,10,2020
6074,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,3.0,462000000.0,,3.0,10,2020
6075,Apartamento,Venta,2020-10-07,3.421,-76.547,Valle del Cauca,3.0,780000000.0,,3.0,10,2020
6077,Apartamento,Venta,2020-10-07,3.424,-76.546,Valle del Cauca,3.0,380000000.0,,3.0,10,2020
6078,Apartamento,Venta,2020-10-07,3.39,-76.531,Valle del Cauca,3.0,245000000.0,,3.0,10,2020
6084,Apartamento,Venta,2020-10-07,3.403,-76.559,Valle del Cauca,3.0,255000000.0,,3.0,10,2020
6086,Apartamento,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,3.0,415000000.0,,3.0,10,2020
6088,Apartamento,Venta,2020-10-07,3.432,-76.557,Valle del Cauca,3.0,730000000.0,,3.0,10,2020
6089,Apartamento,Venta,2020-10-07,3.432,-76.557,Valle del Cauca,3.0,465000000.0,,3.0,10,2020
6090,Apartamento,Venta,2020-10-07,3.376,-76.518,Valle del Cauca,3.0,285000000.0,,2.0,10,2020
6091,Apartamento,Venta,2020-10-07,3.482,-76.524,Valle del Cauca,3.0,350000000.0,,3.0,10,2020
6093,Apartamento,Venta,2020-10-07,3.456,-76.537,Valle del Cauca,3.0,750000000.0,175.0,3.0,10,2020
6099,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,3.0,435000000.0,,3.0,10,2020
6110,Apartamento,Venta,2020-10-07,3.421,-76.547,Valle del Cauca,3.0,385000000.0,,2.0,10,2020
6143,Apartamento,Venta,2020-10-07,10.398,-75.556,Bolívar,3.0,1300000000.0,262.0,4.0,10,2020
6338,Apartamento,Venta,2020-10-07,6.218098,-75.560464,Antioquia,3.0,864000000.0,,2.0,10,2020
6339,Apartamento,Venta,2020-10-07,6.2059548,-75.5503335,Antioquia,3.0,1100000000.0,,3.0,10,2020
6344,Apartamento,Venta,2020-10-07,6.181346456,-75.5722572446,Antioquia,3.0,430000000.0,,3.0,10,2020
6370,Apartamento,Venta,2020-10-07,6.2042458,-75.5781528,Antioquia,3.0,490000000.0,,3.0,10,2020
6383,Apartamento,Venta,2020-10-07,4.7019023,-74.0351848,Cundinamarca,3.0,900000000.0,,3.0,10,2020
6395,Apartamento,Venta,2020-10-07,4.734,-74.059,Cundinamarca,3.0,670000000.0,118.0,4.0,10,2020
6397,Apartamento,Venta,2020-10-07,4.725,-74.041,Cundinamarca,3.0,400000000.0,94.0,3.0,10,2020
6398,Apartamento,Venta,2020-10-07,4.756,-74.069,Cundinamarca,3.0,710000000.0,112.0,3.0,10,2020
6400,Apartamento,Venta,2020-10-07,4.669,-74.045,Cundinamarca,3.0,1625000000.0,250.0,3.0,10,2020
6402,Apartamento,Venta,2020-10-07,4.67,-74.045,Cundinamarca,3.0,1550000000.0,140.0,2.0,10,2020
6403,Apartamento,Venta,2020-10-07,4.701,-74.029,Cundinamarca,3.0,1250000000.0,160.0,3.0,10,2020
6407,Apartamento,Venta,2020-10-07,4.729,-74.066,Cundinamarca,3.0,360000000.0,92.0,3.0,10,2020
6463,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,720000000.0,,3.0,10,2020
6465,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,950000000.0,,4.0,10,2020
6466,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,650000000.0,,3.0,10,2020
6470,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,750000000.0,,3.0,10,2020
6471,Apartamento,Venta,2020-10-07,3.447,-76.547,Valle del Cauca,4.0,900000000.0,,3.0,10,2020
6484,Apartamento,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,850000000.0,,3.0,10,2020
6486,Apartamento,Venta,2020-10-07,3.432,-76.557,Valle del Cauca,4.0,460000000.0,,3.0,10,2020
6488,Apartamento,Venta,2020-10-07,3.392,-76.538,Valle del Cauca,4.0,1395000000.0,460.0,4.0,10,2020
6491,Apartamento,Venta,2020-10-07,3.261,-76.541,Valle del Cauca,4.0,365000000.0,,3.0,10,2020
6577,Apartamento,Venta,2020-10-07,4.7019127335,-74.0461301028,Cundinamarca,4.0,960000000.0,,3.0,10,2020
6578,Apartamento,Venta,2020-10-07,4.708,-74.041,Cundinamarca,4.0,1250000000.0,178.0,3.0,10,2020
6580,Apartamento,Venta,2020-10-07,4.699,-74.047,Cundinamarca,4.0,1280000000.0,170.0,3.0,10,2020
